outcome,loser_mean,loser_sd,loser_n,bog95_ols_estimate,bog95_ols_se,bog95_iv_estimate,bog95_iv_se,combined_ols_estimate,combined_ols_se,combined_iv_estimate,combined_iv_se,bog95_n,combined_n
scyfnsh,7.48576512455516,0.9649712721855469,562,0.1672494382469635,0.05359665999306983,0.19615139553802355,0.07662905807266705,0.14080876034737433,0.04320011785256081,0.13422516875615234,0.0646975167064155,1147,1577
inschl,0.8309608540925267,0.3751203755430727,562,0.02184195837787065,0.02092360925425406,0.010404874860963318,0.030041582624462715,0.033156259412628536,0.017008437548233696,-0.002578033804496087,0.02555540573376736,1147,1577
nrept,0.2544483985765126,0.5077191649445342,562,-0.07737227951097368,0.028566619518368603,-0.10049221014319926,0.04100350525993356,-0.0688257220734875,0.023058171098501196,-0.09116627517290929,0.034318014265233135,1147,1577
finish8,0.6316725978647687,0.48278054520362274,562,0.1135006938363988,0.028010542305498272,0.15102613176257532,0.040359770905976845,0.10762567405123871,0.025970117996786272,0.12651333989832944,0.03816325234701827,1147,1304
totalpts,-0.0987471504346374,1.0393255958097127,124,0.3791867674671358,0.10958345484545488,0.29120979998327573,0.152013845287812,NA,NA,NA,NA,280,NA
married,0.016014234875444955,0.12564182380759453,562,-0.009314741692664849,0.006377322097296617,-0.013112839836391624,0.008963760774504781,-0.009548454110742904,0.0058713548257268095,-0.014375453893683507,0.008743583360283901,1146,1576
