variable,outcome,unweighted_estimate,ipw_estimate,unweighted_std_error,ipw_std_error,unweighted_p_value,ipw_p_value,unweighted_n,ipw_n,estimate_change
SCYFNSH,Highest grade completed,0.0853743600951667,0.09328517961116099,0.04124354924605534,0.04408290941763235,0.038451860478045136,0.03433372850977921,1577,1577,0.007910819515994288
FINISH8,Finished 8th grade,0.08093865283779263,0.09050733226744584,0.024476299063186054,0.02532631796366812,9.436236414135273e-4,3.5204281759605314e-4,1304,1304,0.009568679429653212
REPT,Ever repeated after the lottery,-0.054751443185926965,-0.057695452513305566,0.018844309980503238,0.019320225819712423,0.003667103407379236,0.002824011869062983,1577,1577,-0.002944009327378601
NREPT,Total repetitions since the lottery,-0.05798660919761506,-0.06114156833895595,0.021827902921697694,0.022279050742373404,0.007894802888965593,0.006063039658887267,1577,1577,-0.0031549591413408892
TOTSCYRS,Years in school since the lottery,0.014771513992968758,0.015902483573668583,0.04357390405807069,0.04773305111392802,0.7346104127626245,0.7390176175681389,1577,1577,0.0011309695806998258
