sample,n,estimate,robust_se,robust_t,robust_f,p_value
Bogota 1995,1147,0.6634884356133671,0.02179141563362295,30.447238801211295,927.0343506179867,5.221397604734204e-149
Combined,1577,0.6360532893072229,0.019105330268642026,33.29192850181661,1108.352503370069,7.504621141674936e-184
Combined: finished eighth grade,1304,0.6397637822449349,0.020847828479451876,30.687310329490746,941.7110152584694,1.855721720455442e-155
Test-score sample,280,0.7032192479696987,0.04190643796714782,16.78069724086264,281.591799889495,1.6519519765348067e-43
